Number,Nat,Player,Sp,Stat,Age,TSI,LS,XP,Fo,Stm,StmPr,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,,PH,KP,WB,CD,W,IM,FW,BPo,BPoV,
1,Hanguk,Jee-Seung Oh [playerid=427619233],,,21.85,4170,4,3,6,6,6.60,20,True,7,3,1,1,1,1,6,769,2017-07-05 [playerid=427619233],4,KP,990000,0,[playerid=427619233],,[playerid=427619233],6.71,3.61,3.68,2.94,2.83,2.64,KP,6.71,
2,Hanguk,Jee-Hoon Kim [playerid=428709461],,,18.94,50,3,1,6,5,5.15,20,True,5,5,1,1,1,2,2,282,2017-07-02 [playerid=428709461],2.5,KP,670000,0,[playerid=428709461],,[playerid=428709461],5.03,3.72,3.86,2.49,2.32,2.25,KP,5.03,
3,Hanguk,Eun-Seok Hong [playerid=427619235],,,29.7,430,5,4,5,6,6.73,20,True,1,6,6,3,2,2,4,615,2017-07-05 [playerid=427619235],3,CD,300000,1,[playerid=427619235],,[playerid=427619235],3.67,5.98,6.42,5.65,6.01,4.36,CD,6.42,
4,Hanguk,Ji-Woon Lee [playerid=427619236],,Inj 1,19.23,820,5,2,5,7,6.93,20,True,1,7,4,3,5,2,5,702,2017-06-28 [playerid=427619236],3.5,CD,390000,2,[playerid=427619236],,[playerid=427619236],3.62,5.81,6.06,4.94,4.9,3.99,CDtw,6.11,
5,Hanguk,Jang-Soo Choi [playerid=427619237],빠름,,30.69,180,5,5,4,6,6.42,20,True,1,6,4,4,2,1,7,603,2017-06-22 [playerid=427619237],2,CD,280000,0,[playerid=427619237],,[playerid=427619237],3.32,5.16,5.22,4.5,4.33,3.31,WBd,5.3,
6,Hanguk,Jae-Shin Cha [playerid=427619238],,Y×1,27.4,1110,5,4,5,6,6.82,20,True,1,7,3,6,3,2,6,794,2017-07-05 [playerid=427619238],4,WB,390000,3,[playerid=427619238],,[playerid=427619238],3.92,6.36,6.05,5.17,4.45,4.09,WBd,6.6,
7,Hanguk,In-Moo Byon [playerid=427619239],,,31.104,550,1,5,5,6,6.33,20,True,2,6,5,5,5,3,6,604,2017-07-05 [playerid=427619239],3,CD,300000,2,[playerid=427619239],,[playerid=427619239],4.24,6.08,6.11,5.78,5.67,5.01,WBd,6.16,
8,Hanguk,Hong-Chan Son [playerid=427619240],,Y×1,21.64,1090,5,3,6,7,7.11,20,True,1,5,6,5,5,1,4,628,2017-07-05 [playerid=427619240],3.5,WB,310000,0,[playerid=427619240],,[playerid=427619240],3.69,6.34,6.46,6.58,6.65,4.97,IMtw,6.73,
9,Hanguk,Hoi-Taek Park [playerid=427619241],예측할 수 없음,,19.71,860,2,2,4,5,5.58,20,True,1,5,6,3,6,3,6,679,2017-07-05 [playerid=427619241],3.5,IM,330000,0,[playerid=427619241],,[playerid=427619241],2.63,4.38,4.72,4.6,4.98,4.08,IMo,4.99,
10,Hanguk,Kwang-Eul Jeon [playerid=427619242],,Bru,23.70,1430,4,3,6,6,6.94,20,True,1,6,7,3,3,2,5,766,2017-07-05 [playerid=427619242],2.5,FW,430000,2,[playerid=427619242],,[playerid=427619242],3.72,6.32,6.91,6.29,6.85,4.81,Cdo,7.06,
11,Hanguk,Kwang-Hwan Yun [playerid=427619243],,,26.37,720,6,3,5,6,6.61,20,True,2,5,6,3,5,2,6,656,2017-07-02 [playerid=427619243],3.5,IM,330000,0,[playerid=427619243],,[playerid=427619243],3.85,5.37,5.78,5.57,5.98,4.58,IMd,6.01,
12,Hanguk,Chan-Myung Lee [playerid=427619244],,,25.46,980,3,4,6,7,7.17,20,True,1,3,7,3,4,3,4,751,2017-07-05 [playerid=427619244],4.5,IM,410000,1,[playerid=427619244],,[playerid=427619244],3.35,5.37,5.88,6.43,7.24,5.75,IMo,7.27,
13,Hanguk,Sung-Kook Han [playerid=427619245],공 마술사,,21.34,1180,2,3,5,6,6.96,20,True,1,5,6,6,5,2,5,638,2017-07-05 [playerid=427619245],3.5,W,330000,7,[playerid=427619245],,[playerid=427619245],3.36,5.91,5.88,6.15,6.08,4.94,IMtw,6.2,
14,Hanguk,Se-Jong Cho [playerid=427619246],,,28.34,690,4,4,5,6,6.49,20,True,1,5,5,6,3,4,4,612,2017-07-02 [playerid=427619246],3,WB,290000,7,[playerid=427619246],,[playerid=427619246],3.41,5.73,5.59,5.61,5.41,5.12,WBo,5.76,
15,Hanguk,Man-Ok Lee [playerid=427619247],예측할 수 없음,Y×1,22.87,1770,5,3,5,7,7.15,20,True,1,5,5,7,6,2,4,749,2017-07-02 [playerid=427619247],4,W,350000,4,[playerid=427619247],,[playerid=427619247],3.38,5.92,5.62,6.02,5.61,4.96,Wo,6.2,
16,Hanguk,Dong-Shik Kim [playerid=427619248],,,18.81,1130,6,2,4,6,6.33,20,True,1,3,3,6,4,7,6,776,2017-07-05 [playerid=427619248],4,FW,410000,9,[playerid=427619248],,[playerid=427619248],2.36,3.71,3.32,3.81,3.49,4.8,FWtw,5.02,
