Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,StmPr,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,,TC,PH,KP,WB,CD,W,IM,FW,BPo,BPoV
1,Hanguk,Jee-Seung Oh,427619233,,,21.95,10주 0일,5660,4,3,7,6,6.60,20,True,8,3,1,1,1,1,6,812,2017-07-12,4,KP,990000,0,,,,7.88,3.89,3.97,3.17,3.06,2.84,KP,7.88
2,Hanguk,Jee-Hoon Kim,428709461,,,18.104,2주 0일,1610,3,1,6,5,5.31,20,True,6,5,1,1,1,2,2,605,2017-07-16,3,KP,670000,0,,,,5.64,3.76,3.9,2.52,2.35,2.28,KP,5.64
3,Hanguk,Eun-Seok Hong,427619235,,,29.17,10주 0일,450,5,4,5,6,6.73,20,True,1,6,6,3,2,2,4,621,2017-07-12,3.5,CD,300000,1,,,,3.67,5.98,6.42,5.65,6.01,4.36,CD,6.42
4,Hanguk,Ji-Woon Lee,427619236,,,19.33,10주 0일,960,5,2,5,6,6.93,20,True,1,7,4,3,5,2,5,727,2017-07-16,3.5,CD,390000,2,,,,3.62,5.81,6.06,4.94,4.9,3.99,CDtw,6.11
5,Hanguk,Jang-Soo Choi,427619237,빠름,,30.79,10주 0일,160,5,5,3,6,6.42,20,True,1,6,4,4,2,1,7,606,2017-06-22,2,CD,280000,0,,,,2.85,4.44,4.49,3.87,3.72,2.85,WBd,4.56
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.14,10주 0일,1050,5,4,5,6,6.82,20,True,1,7,3,6,3,2,6,786,2017-07-12,4,WB,390000,3,,,,3.92,6.36,6.05,5.17,4.45,4.09,WBd,6.6
7,Hanguk,In-Moo Byon,427619239,,,32.2,10주 0일,390,1,5,4,6,6.37,20,True,2,6,5,5,5,3,6,597,2017-07-16,3.5,CD,300000,2,,,,3.8,5.44,5.47,5.17,5.07,4.48,WBd,5.51
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.74,10주 0일,1080,5,3,6,7,7.11,20,True,1,5,6,5,5,1,4,627,2017-07-12,3.5,WB,310000,0,,,,3.69,6.34,6.46,6.58,6.65,4.97,IMtw,6.73
9,Hanguk,Hoi-Taek Park,427619241,예측할 수 없음,R,19.81,10주 0일,940,2,2,5,5,5.58,20,True,1,5,6,3,6,3,6,662,2017-07-16,3.5,IM,330000,3,,,,2.95,4.91,5.29,5.16,5.58,4.57,IMo,5.59
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.80,10주 0일,1450,4,3,6,7,6.94,20,True,1,6,7,3,3,2,5,751,2017-07-12,4.5,IM,430000,2,,,,3.92,6.66,7.28,6.62,7.21,5.06,Cdo,7.44
