Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KP,WB,CD,W,IM,FW
1,Hanguk,Jee-Seung Oh,427619233,,,21.98,10주 3일,5660,4,3,7,6,20,TRUE,8,3,1,1,1,1,6,812,2017-07-19,4.5,KP,990000,0,,,7.88,3.89,3.97,3.17,3.06,2.84
2,Hanguk,Jee-Hoon Kim,428709461,,,18.107,2주 3일,1610,3,1,6,5,20,TRUE,6,5,1,1,1,2,2,605,2017-07-16,3,KP,670000,0,,,5.69,3.8,3.94,2.54,2.37,2.3
3,Hanguk,Eun-Seok Hong,427619235,,,29.20,10주 3일,440,5,4,5,6,20,TRUE,1,6,6,3,2,2,4,618,2017-07-19,3.5,CD,300000,1,,,3.67,5.98,6.42,5.65,6.01,4.36
4,Hanguk,Ji-Woon Lee,427619236,,,19.36,10주 3일,960,5,2,5,6,20,TRUE,1,7,4,3,5,2,5,727,2017-07-16,3.5,CD,390000,2,,,3.61,5.79,6.04,4.92,4.88,3.98
5,Hanguk,Jang-Soo Choi,427619237,빠름,,30.82,10주 3일,160,5,5,3,6,20,TRUE,1,6,4,4,2,1,7,606,2017-06-22,2,CD,280000,0,,,2.85,4.44,4.49,3.87,3.72,2.85
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.17,10주 3일,1050,5,4,5,6,20,TRUE,1,7,3,6,3,2,6,786,2017-07-19,3.5,WB,390000,3,,,3.92,6.36,6.05,5.17,4.45,4.09
7,Hanguk,In-Moo Byon,427619239,,,32.5,10주 3일,390,1,5,4,6,20,TRUE,2,6,5,5,5,3,6,597,2017-07-19,3,CD,300000,2,,,3.8,5.44,5.47,5.17,5.07,4.48
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.77,10주 3일,1080,5,3,6,7,20,TRUE,1,5,6,5,5,1,4,627,2017-07-19,3.5,WB,310000,0,,,3.69,6.34,6.46,6.58,6.65,4.97
9,Hanguk,Hoi-Taek Park,427619241,예측할 수 없음,R,19.84,10주 3일,940,2,2,5,5,20,TRUE,1,5,6,3,6,3,6,662,2017-07-16,3.5,IM,330000,3,,,2.95,4.91,5.29,5.16,5.58,4.57
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.83,10주 3일,1450,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,751,2017-07-19,4.5,IM,430000,2,,,3.92,6.66,7.28,6.62,7.21,5.06
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.50,10주 3일,670,6,3,4,6,20,TRUE,2,5,6,3,5,2,6,673,2017-07-19,3.5,IM,330000,2,,,3.45,4.82,5.18,4.99,5.36,4.1
12,Hanguk,Chan-Myung Lee,427619244,,,25.59,10주 3일,1000,3,4,6,7,20,TRUE,1,3,7,3,4,3,4,754,2017-07-19,3.5,FW,410000,1,,,3.37,5.4,5.91,6.47,7.28,5.79
13,Hanguk,Sung-Kook Han,427619245,공 마술사,,21.47,10주 3일,1370,2,3,6,7,20,TRUE,1,5,6,6,5,2,5,622,2017-07-19,4.5,W,330000,7,,,3.67,6.46,6.43,6.72,6.65,5.4
14,Hanguk,Se-Jong Cho,427619246,,,28.47,10주 3일,770,4,5,5,6,20,TRUE,1,5,5,6,3,4,4,621,2017-07-16,3.5,WB,290000,7,,,3.53,5.87,5.72,5.74,5.54,5.25
15,Hanguk,Man-Ok Lee,427619247,예측할 수 없음,Y×1,22.100,10주 3일,2110,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,741,2017-07-16,5,W,350000,5,,,4.01,7.03,6.67,7.15,6.66,5.89
16,Hanguk,Dong-Shik Kim,427619248,,,18.94,10주 3일,1210,6,2,5,6,20,TRUE,1,3,3,6,4,7,6,766,2017-07-19,4.5,FW,410000,10,,,2.64,4.16,3.72,4.27,3.91,5.38
17,Hanguk,Seung-Mee Kim,427619249,예측할 수 없음,,34.33,10주 3일,80,2,6,7,5,20,TRUE,1,2,4,4,4,7,5,680,2017-07-16,5,FW,300000,9,,,3.3,4.63,4.56,5.32,5.53,6.7
18,Hanguk,Kwang-Rae Kim,427619250,헤딩,Y×1,26.54,10주 3일,1020,3,3,5,7,20,TRUE,1,2,5,3,6,6,2,635,2017-07-19,4.5,FW,310000,8,,,2.68,3.93,4.13,4.91,5.42,5.85
19,Hanguk,Joo-Po Lee,428801949,,,17.47,1주 3일,0,5,1,6,5,20,TRUE,1,2,2,3,1,1,3,290,,,,250000,0,,,2.14,2.83,2.68,2.77,2.58,2.33
20,Brasil,Jader da Matta,427827635,,Y×2,32.11,5주 2일,590,4,6,4,6,7,FALSE,2,6,6,5,6,2,5,593,2017-07-16,2.5,WB,384000,0,,,3.06,4.86,4.99,4.85,4.89,3.79
21,Belgium,Jitse Haes,428112207,,,31.52,5주 3일,870,4,5,5,6,7,FALSE,2,6,6,5,6,2,5,599,2017-07-16,3,CD,384000,2,,,3.37,5.39,5.54,5.38,5.42,4.18
22,Nederland,Keith Esser,428060480,빠름,,31.69,5주 2일,890,5,6,5,6,7,FALSE,2,6,5,6,6,3,6,596,2017-07-16,3.5,W,372000,0,,,3.48,5.5,5.39,5.28,5.01,4.49
23,Belgium,Mathias Piron,428125893,공 마술사,,32.21,5주 2일,510,6,5,4,6,7,FALSE,2,6,6,6,6,3,6,590,2017-07-19,2.5,W,372000,1,,,3,4.93,4.93,4.93,4.85,4.08
24,Canada,Philippe Morel,425173438,예측할 수 없음,,33.35,5주 2일,240,5,5,4,5,7,FALSE,2,6,5,5,6,2,6,590,2017-07-16,2.5,W,360000,2,,,2.88,4.46,4.49,4.26,4.15,3.38
25,Polska,Pylyp Nagorniak,406205227,,Y×2,26.94,5주 2일,1550,5,3,5,5,7,FALSE,1,6,7,3,6,3,6,716,2017-07-16,3,IM,444000,1,,,2.47,4.8,5.33,4.97,5.52,4.1
26,Türkiye,Türker Arkan,425734621,,Y×1,32.111,5주 2일,1100,1,6,7,6,7,FALSE,2,6,7,5,6,2,6,680,2017-07-19,4.5,IM,420000,10,,,3.97,6.5,6.8,6.74,6.99,5.17
27,Hanguk,Soo-Kwon Hong,428883307,헤딩,,17.35,4일,10,3,1,6,5,20,TRUE,1,2,1,3,3,3,3,293,,,,250000,0,,,2.14,2.65,2.39,2.52,2.21,2.98
29,Hanguk,Won-Joon Kim,428342261,,,17.95,3주 4일,220,4,1,5,5,20,TRUE,1,2,4,5,2,5,4,568,,,,270000,0,,,1.95,3.18,2.98,3.61,3.58,4
99,Hanguk,Je-Min Jung,427619232,,,40.110,10주 3일,0,4,8,3,2,20,TRUE,0,0,0,0,0,0,2,340,,,,250000,0,,,1.14,1.14,1.14,1.14,1.14,1.14
