#,Nat,Player,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KP,WB,CD,W,IM,FW,
1,Hanguk,Jee-Seung Oh [playerid=427619233],,,21.106,11 주   4 일,6430,4,3,7,6,20,✔,8,3,1,1,1,1,6,840,2017-07-26 [playerid=427619233],4.5,KP,990000,0,[playerid=427619233],[playerid=427619233],8,3.95,4.03,3.22,3.1,2.89,
2,Hanguk,Jee-Hoon Kim [playerid=428709461],,,19.3,3 주   4 일,2090,3,1,7,5,20,✔,6,5,1,1,1,2,2,631,2017-07-23 [playerid=428709461],3.5,KP,930000,0,[playerid=428709461],[playerid=428709461],6.19,4.13,4.28,2.77,2.58,2.5,
3,Hanguk,Eun-Seok Hong [playerid=427619235],,,29.28,11 주   4 일,430,5,4,5,6,20,✔,1,6,6,3,2,2,4,615,2017-07-26 [playerid=427619235],3,CD,300000,1,[playerid=427619235],[playerid=427619235],3.7,6.01,6.46,5.69,6.04,4.38,
4,Hanguk,Ji-Woon Lee [playerid=427619236],,R,19.44,11 주   4 일,980,5,2,5,6,20,✔,1,7,4,3,5,2,5,731,2017-07-23 [playerid=427619236],3.5,CD,390000,2,[playerid=427619236],[playerid=427619236],3.61,5.79,6.04,4.92,4.88,3.98,
5,Hanguk,Jang-Soo Choi [playerid=427619237],빠름,,30.90,11 주   4 일,140,5,5,3,6,20,✔,1,6,4,4,2,1,7,601,2017-06-22 [playerid=427619237],2,CD,280000,0,[playerid=427619237],[playerid=427619237],2.85,4.44,4.49,3.87,3.72,2.85,
6,Hanguk,Jae-Shin Cha [playerid=427619238],,Y×1,27.25,11 주   4 일,1020,5,4,5,7,20,✔,1,7,3,6,3,2,6,766,2017-07-26 [playerid=427619238],3.5,WB,390000,3,[playerid=427619238],[playerid=427619238],3.95,6.42,6.1,5.21,4.49,4.12,
7,Hanguk,In-Moo Byon [playerid=427619239],,,32.13,11 주   4 일,400,1,5,5,6,20,✔,2,6,5,5,5,3,6,594,2017-07-26 [playerid=427619239],3.5,CD,300000,2,[playerid=427619239],[playerid=427619239],4.24,6.08,6.12,5.78,5.68,5.02,
8,Hanguk,Hong-Chan Son [playerid=427619240],,Y×1,21.85,11 주   4 일,1060,5,3,6,7,20,✔,1,5,6,5,5,1,4,623,2017-07-26 [playerid=427619240],3.5,WB,310000,0,[playerid=427619240],[playerid=427619240],3.73,6.4,6.53,6.65,6.72,5.02,
9,Hanguk,Hoi-Taek Park [playerid=427619241],예측할 수 없음,,19.92,11 주   4 일,1010,2,2,5,6,20,✔,1,5,6,3,6,3,6,648,2017-07-26 [playerid=427619241],3.5,IM,330000,3,[playerid=427619241],[playerid=427619241],3.04,5.05,5.44,5.3,5.74,4.71,
10,Hanguk,Kwang-Eul Jeon [playerid=427619242],,,23.91,11 주   4 일,1400,4,3,6,7,20,✔,1,6,7,3,3,2,5,745,2017-07-26 [playerid=427619242],4,IM,430000,2,[playerid=427619242],[playerid=427619242],3.96,6.73,7.36,6.69,7.29,5.12,
