Name,Age,TSI,PayPerWeek,Form,Stamina,Special,Experience,Leadership,Loyalty,Keeper,Defending,Playmaking,Winger,Passing,Scoring,SetPieces
1. Jee-Seung Oh,21세 38일,2280,990000,6,5,,3,4,20,6,3,1,1,1,1,6
2. Myung-Jin Min,27세 89일,2200,930000,6,7,,4,1,20,6,4,1,1,2,1,2
7. In-Moo Byon,31세 57일,610,300000,5,6,,5,1,20,2,6,5,5,5,3,6
11. Kwang-Hwan Yun,25세 102일,800,330000,6,6,,3,6,20,2,5,6,3,5,2,6
3. Eun-Seok Hong,28세 72일,530,300000,6,6,,4,5,20,1,6,6,3,2,2,4
4. Ji-Woon Lee,18세 88일,1000,390000,5,7,,2,5,20,1,7,4,3,5,2,5
5. Jang-Soo Choi,30세 22일,220,280000,5,6,빠름,5,5,20,1,6,4,4,2,1,7
6. Jae-Shin Cha,26세 69일,1110,390000,6,6,,4,5,20,1,7,3,6,3,2,6
8. Hong-Chan Son,21세 17일,1000,310000,6,6,,2,5,20,1,5,6,5,5,1,4
9. Hoi-Taek Park,19세 24일,910,330000,5,5,예측못함,2,2,20,1,5,6,3,6,3,6
10. Kwang-Eul Jeon,23세 23일,1300,430000,6,6,,3,4,20,1,6,7,3,3,2,5
12. Chan-Myung Lee,24세 111일,970,410000,6,6,,3,3,20,1,3,7,3,4,3,4
13. Sung-Kook Han,20세 99일,1260,330000,6,6,공 마술사,2,2,20,1,5,6,6,5,2,5
14. Se-Jong Cho,27세 99일,860,290000,6,5,,4,4,20,1,5,5,6,3,4,4
15. Man-Ok Lee,22세 40일,1870,350000,6,6,예측못함,3,5,20,1,5,5,7,6,2,4
16. Dong-Shik Kim,18세 34일,1190,410000,5,5,,2,6,20,1,3,3,6,4,7,6
17. Seung-Mee Kim,33세 85일,210,310000,5,6,예측못함,6,2,20,1,3,4,4,4,7,5
18. Kwang-Rae Kim,25세 106일,1030,310000,6,6,헤딩,3,3,20,1,2,5,3,6,6,2
