Name,Age,TSI,PayPerWeek,Form,Stamina,Special,Experience,Leadership,Loyalty,Keeper,Defending,Playmaking,Winger,Passing,Scoring,SetPieces
1. Jee-Seung Oh,21세 31일,2310,990000,6,5,,3,4,20,6,3,1,1,1,1,6
2. Myung-Jin Min,27세 82일,2080,930000,7,7,,4,1,20,6,4,1,1,2,1,2
3. Eun-Seok Hong,28세 65일,520,300000,6,6,,4,5,20,1,6,6,3,2,2,4
4. Ji-Woon Lee,18세 81일,970,390000,5,7,,2,5,20,1,7,4,3,5,2,5
5. Jang-Soo Choi,30세 15일,210,280000,5,6,빠름,5,5,20,1,6,4,4,2,1,7
6. Jae-Shin Cha,26세 62일,1090,390000,6,6,,4,5,20,1,7,3,6,3,2,6
7. In-Moo Byon,31세 50일,700,300000,7,6,,5,1,20,2,6,5,5,5,3,6
8. Hong-Chan Son,21세 10일,980,310000,6,6,,2,5,20,1,5,6,5,5,1,4
9. Hoi-Taek Park,19세 17일,1020,330000,6,5,예측못함,2,2,20,1,5,6,3,6,3,6
10. Kwang-Eul Jeon,23세 16일,1270,430000,5,6,,3,4,20,1,6,7,3,3,2,5
11. Kwang-Hwan Yun,25세 95일,790,330000,5,6,,3,6,20,2,5,6,3,5,2,6
12. Chan-Myung Lee,24세 104일,980,410000,7,6,,3,3,20,1,3,7,3,4,3,4
13. Sung-Kook Han,20세 92일,1250,330000,6,6,공 마술사,2,2,20,1,5,6,6,5,2,5
14. Se-Jong Cho,27세 92일,840,290000,6,5,,4,4,20,1,5,5,6,3,4,4
15. Man-Ok Lee,22세 33일,2010,350000,7,6,예측못함,3,5,20,1,5,5,7,6,2,4
16. Dong-Shik Kim,18세 27일,1280,410000,6,5,,1,6,20,1,3,3,6,4,7,6
17. Seung-Mee Kim,33세 78일,210,310000,5,6,예측못함,6,2,20,1,3,4,4,4,7,5
18. Kwang-Rae Kim,25세 99일,970,310000,5,6,헤딩,3,3,20,1,2,5,3,6,6,2
