#,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KP,WB,CD,W,IM,FW
1,Hanguk,Jee-Seung Oh,427619233,,,22.0,11주 6일,6930,4,3,7,7,20,TRUE,8,3,1,1,1,1,6,856,2017-07-26,4.5,KP,1970000,0,,,8,3.95,4.03,3.22,3.1,2.89
2,Hanguk,Jee-Hoon Kim,428709461,,,19.9,3주 8일,2580,3,1,7,5,20,TRUE,6,5,1,1,1,2,2,665,2017-07-30,3.5,KP,930000,0,,,6.24,4.17,4.32,2.79,2.6,2.52
3,Hanguk,Eun-Seok Hong,427619235,,,29.34,11주 6일,450,5,4,5,6,20,TRUE,1,6,6,3,2,2,4,621,2017-07-26,3,CD,300000,1,,,3.7,6.01,6.46,5.69,6.04,4.38
4,Hanguk,Ji-Woon Lee,427619236,,,19.50,11주 6일,1090,5,2,6,6,20,TRUE,1,7,4,3,5,2,5,738,2017-07-23,3.5,CD,390000,2,,,3.95,6.33,6.61,5.38,5.34,4.35
5,Hanguk,Jang-Soo Choi,427619237,빠름,,30.96,11주 6일,180,5,5,4,6,20,TRUE,1,6,4,4,2,1,7,603,2017-06-22,2,CD,280000,0,,,3.32,5.16,5.22,4.5,4.33,3.31
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.31,11주 8일,940,5,4,4,7,20,TRUE,1,7,3,6,3,2,6,777,2017-07-26,3.5,WB,390000,3,,,3.52,5.73,5.45,4.65,4.01,3.68
7,Hanguk,In-Moo Byon,427619239,,,32.19,11주 8일,440,1,6,6,6,20,TRUE,2,6,5,5,5,3,6,595,2017-07-30,3.5,CD,300000,4,,,4.72,6.73,6.76,6.4,6.28,5.56
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.91,11주 8일,1110,5,3,6,7,20,TRUE,1,5,6,5,5,1,4,632,2017-07-26,3.5,WB,310000,0,,,3.73,6.4,6.53,6.65,6.72,5.02
9,Hanguk,Hoi-Taek Park,427619241,예측할 수 없음,,19.98,11주 8일,1000,2,2,5,6,20,TRUE,1,5,6,3,6,3,6,646,2017-07-26,3.5,IM,330000,3,,,3.04,5.05,5.44,5.3,5.74,4.71
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.97,11주 8일,1420,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,747,2017-07-26,4,IM,430000,2,,,3.96,6.73,7.36,6.69,7.29,5.12
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.64,11주 8일,670,6,3,4,6,20,TRUE,2,5,6,3,5,2,6,673,2017-07-30,3.5,IM,330000,2,,,3.45,4.82,5.18,4.99,5.36,4.1
12,Hanguk,Chan-Myung Lee,427619244,,,25.73,11주 8일,930,3,4,5,7,20,TRUE,1,3,7,3,4,3,4,761,2017-07-26,3.5,FW,410000,1,,,3.08,4.95,5.42,5.93,6.67,5.3
13,Hanguk,Sung-Kook Han,427619245,공 마술사,,21.61,11주 8일,1410,2,3,6,7,20,TRUE,1,5,6,6,5,2,5,628,2017-07-26,4.5,W,330000,7,,,3.71,6.53,6.49,6.8,6.72,5.46
14,Hanguk,Se-Jong Cho,427619246,,,28.61,11주 8일,790,4,5,6,6,20,TRUE,1,5,5,6,3,4,4,613,2017-07-30,3.5,WB,290000,8,,,3.89,6.46,6.3,6.32,6.1,5.77
15,Hanguk,Man-Ok Lee,427619247,예측할 수 없음,Y×1,23.2,11주 8일,2250,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,759,2017-07-30,5,W,350000,7,,,4.03,7.07,6.71,7.19,6.69,5.92
16,Hanguk,Dong-Shik Kim,427619248,,,18.108,11주 8일,1270,6,2,5,6,20,TRUE,1,3,3,6,4,7,6,774,2017-07-26,4.5,FW,410000,10,,,2.69,4.23,3.78,4.34,3.97,5.47
17,Hanguk,Seung-Mee Kim,427619249,예측할 수 없음,,34.47,11주 8일,60,2,6,5,5,20,TRUE,1,2,4,4,4,7,5,680,2017-07-30,4,FW,300000,12,,,2.78,3.91,3.85,4.49,4.66,5.65
18,Hanguk,Kwang-Rae Kim,427619250,헤딩,Y×2,26.68,11주 8일,930,3,4,4,7,20,TRUE,1,2,5,3,6,6,2,642,2017-07-30,4,FW,310000,9,,,2.53,3.65,3.82,4.52,4.99,5.37
19,Hanguk,Joo-Po Lee,428801949,,,17.61,2주 8일,0,5,1,5,5,20,TRUE,1,2,2,3,1,1,3,290,,,,250000,0,,,1.95,2.58,2.45,2.53,2.35,2.13
20,Brasil,Jader da Matta,427827635,,R,32.25,6주 7일,690,4,6,6,6,8,FALSE,2,6,6,5,6,2,5,590,2017-07-30,3.5,WB,384000,1,,,3.79,5.99,6.15,5.98,6.03,4.68
21,Belgium,Jitse Haes,428112207,,Y×1,31.66,6주 7일,880,4,5,6,6,8,FALSE,2,6,6,5,6,2,5,596,2017-07-30,3,CD,384000,2,,,3.73,5.94,6.1,5.93,5.98,4.62
22,Nederland,Keith Esser,428060480,빠름,,31.83,6주 7일,870,5,6,5,6,8,FALSE,2,6,5,6,6,3,6,595,2017-07-30,3.5,W,372000,1,,,3.52,5.54,5.43,5.32,5.05,4.53
23,Belgium,Mathias Piron,428125893,공 마술사,,32.35,6주 7일,530,6,5,4,6,8,FALSE,2,6,6,6,6,3,6,590,2017-07-30,3,W,372000,1,,,3.02,4.95,4.95,4.95,4.87,4.11
