Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jee-Seung Oh,427619233,,,22.7,13주 4일,6810,4,3,7,6,20,TRUE,8,3,1,1,1,1,6,852,2017-08-06,4.5,KP,1970000,0,,,8.02,3.96,4.04,3.23,3.11,2.89
2,Hanguk,Jee-Hoon Kim,428709461,,,19.16,5주 4일,2970,3,1,7,5,20,TRUE,6,5,1,1,1,2,2,689,2017-08-09,4,KP,930000,0,,,6.24,4.17,4.32,2.79,2.6,2.52
3,Hanguk,Eun-Seok Hong,427619235,,,29.41,13주 4일,460,5,4,6,6,20,TRUE,1,6,6,3,2,2,4,614,2017-08-06,3.5,CD,300000,1,,,4.03,6.55,7.04,6.2,6.58,4.78
4,Hanguk,Ji-Woon Lee,427619236,,,19.57,13주 4일,1070,5,2,6,6,20,TRUE,1,7,4,3,5,2,5,735,2017-08-06,3.5,CD,390000,3,,,3.95,6.34,6.62,5.39,5.34,4.36
5,Hanguk,Jang-Soo Choi,427619237,Quick,,30.103,13주 4일,200,5,5,5,6,20,TRUE,1,6,4,4,2,1,7,603,2017-06-22,2,CD,280000,0,,,3.72,5.79,5.85,5.04,4.85,3.71
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,27.38,13주 4일,880,5,5,4,7,20,TRUE,1,7,3,6,3,2,6,767,2017-08-06,3,WB,390000,5,,,3.61,5.81,5.53,4.74,4.09,3.76
7,Hanguk,In-Moo Byon,427619239,,Bru,32.26,13주 4일,460,1,6,7,6,20,TRUE,2,6,5,5,5,3,6,595,2017-08-09,3.5,CD,300000,4,,,4.84,6.89,6.93,6.55,6.44,5.7
8,Hanguk,Hong-Chan Son,427619240,,Y×1,21.98,13주 4일,1120,5,3,7,7,20,TRUE,1,5,6,5,5,1,4,624,2017-08-06,3.5,WB,310000,0,,,4.02,6.9,7.04,7.17,7.24,5.42
9,Hanguk,Hoi-Taek Park,427619241,Unpredictable,,19.105,13주 4일,1010,2,2,5,6,20,TRUE,1,5,6,3,6,3,6,648,2017-08-06,4,IM,330000,3,,,3.04,5.05,5.44,5.3,5.74,4.71
10,Hanguk,Kwang-Eul Jeon,427619242,,,23.104,13주 4일,1430,4,3,6,7,20,TRUE,1,6,7,3,3,2,5,748,2017-08-06,4.5,IM,430000,2,,,3.96,6.73,7.36,6.7,7.3,5.12
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.71,13주 4일,740,6,3,5,6,20,TRUE,2,5,6,3,5,2,6,661,2017-08-09,4,IM,330000,2,,,3.87,5.39,5.81,5.59,6,4.6
12,Hanguk,Chan-Myung Lee,427619244,,,25.80,13주 4일,860,3,4,5,7,20,TRUE,1,3,7,3,4,3,4,749,2017-08-06,3,FW,410000,2,,,3.08,4.94,5.42,5.93,6.67,5.3
13,Hanguk,Sung-Kook Han,427619245,Technical,,21.68,13주 4일,1280,2,3,5,7,20,TRUE,1,5,6,6,5,2,5,629,2017-08-06,4,W,330000,7,,,3.39,5.98,5.94,6.22,6.14,5
14,Hanguk,Se-Jong Cho,427619246,,,28.68,13주 4일,800,4,5,6,6,20,TRUE,1,5,5,6,3,4,4,613,2017-08-09,3.5,WB,290000,8,,,3.89,6.46,6.3,6.32,6.1,5.77
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,23.9,13주 4일,2280,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,762,2017-08-09,5,W,350000,7,,,4.03,7.07,6.71,7.19,6.69,5.92
16,Hanguk,Dong-Shik Kim,427619248,,,19.3,13주 4일,1280,6,2,5,6,20,TRUE,1,3,3,6,4,7,6,775,2017-08-06,4.5,FW,410000,12,,,2.69,4.23,3.78,4.34,3.98,5.47
17,Hanguk,Seung-Mee Kim,427619249,Unpredictable,,34.54,13주 4일,60,2,6,5,5,20,TRUE,1,2,4,4,3,7,5,680,2017-08-09,4,FW,300000,12,,,2.78,3.91,3.85,4.42,4.59,5.53
18,Hanguk,Kwang-Rae Kim,427619250,Head,Y×2,26.75,13주 4일,880,3,4,4,7,20,TRUE,1,2,5,3,6,6,2,631,2017-08-09,3.5,FW,310000,9,,,2.53,3.65,3.82,4.52,4.99,5.37
19,Hanguk,Jin-Cheul Cho,429191748,Quick,,17.57,3일,70,4,1,6,5,20,TRUE,1,2,3,5,2,3,4,507,,,,250000,0,,,2.14,3.3,2.97,3.56,3.28,3.51
