Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
2,Hanguk,Jee-Hoon Kim,428709461,,,22.51,3시즌 10주 3일,45980,3,2,7,8,20,TRUE,14,5,1,1,1,2,8,1419,2018-08-12,7.5,KP,11930000,0,,,12.7,4.98,5.14,3.46,3.25,3.17
3,Hanguk,Eun-Seok Hong,427619235,,,32.76,4시즌 2주 3일,180,5,5,7,6,20,TRUE,1,6,5,3,2,1,7,590,2018-08-15,4,CD,290000,9,,,4.42,6.92,7.3,6.27,6.44,4.57
4,Hanguk,Ji-Woon Lee,427619236,,Y×1,22.92,4시즌 2주 3일,1250,5,3,7,8,20,TRUE,1,7,4,3,5,2,7,724,2018-08-15,4.5,CD,390000,25,,,4.66,7.34,7.65,6.27,6.22,5.11
6,Hanguk,Jae-Shin Cha,427619238,,,30.73,4시즌 2주 3일,750,5,6,7,6,20,TRUE,1,7,3,6,3,1,10,728,2018-08-15,5,WB,360000,16,,,4.86,7.77,7.4,6.35,5.47,4.68
8,Hanguk,Hong-Chan Son,427619240,,,25.21,4시즌 2주 3일,1240,5,4,7,7,20,TRUE,1,5,6,5,5,1,8,644,2018-08-15,5,W,310000,3,,,4.23,7.15,7.29,7.42,7.5,5.64
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.27,4시즌 2주 3일,1570,4,5,7,7,20,TRUE,1,6,7,3,3,2,9,756,2018-08-15,5,IM,430000,15,,,4.59,7.6,8.29,7.56,8.22,5.85
11,Hanguk,Kwang-Hwan Yun,427619243,,,29.106,4시즌 2주 3일,650,6,5,7,6,20,TRUE,2,5,6,2,5,2,9,626,2018-08-12,4,W,320000,12,,,4.87,6.52,7.18,6.73,7.42,5.63
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,29.3,4시즌 2주 3일,800,3,5,8,7,20,TRUE,1,3,7,3,4,3,8,708,2018-08-12,5,IM,390000,8,,,3.84,6.08,6.65,7.26,8.15,6.51
13,Hanguk,Sung-Kook Han,427619245,Technical,,24.103,4시즌 2주 3일,1650,2,4,8,8,20,TRUE,1,5,6,6,5,2,9,626,2018-08-15,5,W,330000,21,,,4.41,7.65,7.6,7.95,7.86,6.42
14,Hanguk,Se-Jong Cho,427619246,,,31.103,4시즌 2주 3일,400,4,6,7,6,20,TRUE,1,5,5,6,3,3,8,594,2018-08-12,4,WB,280000,18,,,4.22,6.95,6.78,6.8,6.54,5.85
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,26.44,4시즌 2주 3일,1940,5,4,5,7,20,TRUE,1,5,5,7,6,2,9,773,2018-08-12,4.5,W,350000,13,,,3.57,6.15,5.85,6.26,5.83,5.18
16,Hanguk,Dong-Shik Kim,427619248,,,22.38,4시즌 2주 3일,1710,6,3,7,8,20,TRUE,1,3,3,6,4,7,10,763,2018-08-08,5.5,FW,410000,28,,,3.54,5.44,4.89,5.58,5.13,6.97
25,Polska,Pylyp Nagorniak,406205227,,,30.38,3시즌 13주 2일,1210,5,3,6,6,20,FALSE,1,6,6,3,6,3,9,614,2018-08-12,4.5,IM,420000,8,,,3.52,6.08,6.58,6.04,6.48,5.19
31,Hanguk,Se-Hee Park,430626797,,,21.85,3시즌 1주 3일,1410,4,2,8,8,20,TRUE,1,2,5,5,3,7,8,709,2018-08-15,5,FW,390000,24,,,3.16,5.11,4.98,6.11,6.36,7.33
34,Sverige,Axel Hermansson,422526443,,,31.60,2시즌 15주 2일,1090,5,5,6,6,19,FALSE,2,6,7,2,6,2,9,694,2018-08-15,4.5,IM,456000,17,,,4.22,6.15,6.92,6.33,7.1,5.06
38,Latvija,Artem Skurlatov,409641598,,,29.66,2시즌 11주 6일,2170,5,5,7,6,19,FALSE,1,8,6,3,4,3,4,804,2018-08-15,5,CD,684000,8,,,4.4,7.59,8.18,6.66,7,5.33
