Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,22.75,3 시즌 14 주 0 일,40350,3,2,5,8,20,TRUE,14,5,1,1,1,2,8,1443,2018-09-02,6.5,KP,11930000,0,10.74,4.21,4.35,2.93,2.75,2.68,2.52,2.67,0,KP,10.74
4,Hanguk,Ji-Woon Lee,427619236,,Y×2,23.4,4 시즌 5 주 6 일,1020,5,3,5,8,20,TRUE,1,7,4,3,5,2,7,706,2018-09-05,4,CD,390000,26,3.94,6.21,6.47,5.31,5.26,4.33,4.8,4.23,0,CDtw,6.52
6,Hanguk,Jae-Shin Cha,427619238,,Y×1,30.97,4 시즌 5 주 6 일,750,5,6,7,6,20,TRUE,1,7,3,6,3,1,10,728,2018-09-05,5,WB,360000,22,4.86,7.77,7.4,6.35,5.47,4.68,4.89,5.03,0,WBd,8.04
8,Hanguk,Hong-Chan Son,427619240,,,25.45,4 시즌 5 주 6 일,1250,5,4,8,7,20,TRUE,1,5,6,5,5,1,8,642,2018-09-05,5,W,310000,4,4.37,7.38,7.53,7.66,7.74,5.83,6.71,5.77,0,IMtw,7.84
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.51,4 시즌 5 주 6 일,1660,4,5,8,7,20,TRUE,1,6,7,3,3,2,9,761,2018-09-05,5,IM,430000,15,4.72,7.83,8.53,7.79,8.46,6.02,6.66,5.65,0,Cdo,8.71
11,Hanguk,Kwang-Hwan Yun,427619243,,,30.18,4 시즌 5 주 6 일,520,6,5,7,6,20,TRUE,2,5,6,2,5,2,9,611,2018-08-26,4,W,310000,13,4.87,6.5,7.17,6.72,7.41,5.62,6.42,5.22,0,IMd,7.44
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.27,4 시즌 5 주 6 일,780,3,5,7,7,20,TRUE,1,3,7,3,4,3,8,707,2018-09-02,4.5,IM,390000,9,3.7,5.86,6.41,7.01,7.87,6.28,6.83,5.9,0,IMo,7.9
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.15,4 시즌 5 주 6 일,1630,2,4,8,7,20,TRUE,1,5,6,6,5,2,9,649,2018-09-05,5,W,330000,21,4.39,7.6,7.56,7.9,7.81,6.38,0,6.43,7.03,IMtw,7.96
14,Hanguk,Se-Jong Cho,427619246,,,32.15,4 시즌 5 주 6 일,290,4,6,8,6,20,TRUE,1,5,5,6,3,3,8,590,2018-09-02,4,WB,270000,22,4.35,7.16,6.99,7.01,6.73,6.03,6.09,6.19,0,WBo,7.19
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,26.68,4 시즌 5 주 6 일,1990,5,4,6,7,20,TRUE,1,5,5,7,6,2,9,753,2018-08-26,4.5,W,350000,13,3.91,6.74,6.4,6.85,6.39,5.67,6.21,5.89,0,Wo,7.04
