Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,23.1,4 시즌 3 주 2 일,54440,3,2,7,8,20,TRUE,15,5,1,1,1,2,9,1486,2018-10-10,7.5,KP,19050000,0,13.39,5.37,4.98,5.05,4.59,5.15,5.34,4.43,3.47,3.26,3.17,2.98,3.16,0,KP,13.39
4,Hanguk,Ji-Woon Lee,427619236,,,23.42,4 시즌 11 주 2 일,1300,5,3,8,8,20,TRUE,1,7,4,3,5,2,8,728,2018-10-10,4.5,CD,390000,26,4.81,7.92,7.58,7.72,7.25,7.9,7.96,7.34,6.48,6.43,5.28,5.86,5.17,0,CDtw,7.96
6,Hanguk,Jae-Shin Cha,427619238,,Y×2,31.23,4 시즌 11 주 2 일,440,5,6,4,6,20,TRUE,1,7,3,6,3,1,11,704,2018-10-14,3.5,WB,350000,23,3.64,6.02,5.82,5.7,5.6,5.54,5.86,5.02,4.76,4.09,3.51,3.66,3.77,0,WBd,6.02
8,Hanguk,Hong-Chan Son,427619240,,Y×1,25.83,4 시즌 11 주 2 일,1060,5,4,5,7,20,TRUE,1,5,6,5,5,1,10,644,2018-10-14,4,W,310000,7,3.58,6,6.05,6.11,6.11,6.17,6.06,6.32,6.28,6.35,4.78,5.5,4.73,0,IMtw,6.43
10,Hanguk,Kwang-Eul Jeon,427619242,,Y×1,27.89,4 시즌 11 주 2 일,1350,4,5,5,7,20,TRUE,1,6,7,3,3,2,10,755,2018-10-14,4,IM,430000,18,3.87,6.45,6.42,6.67,6.41,7,6.68,7.15,6.39,6.94,4.94,5.46,4.64,0,Cdo,7.15
11,Hanguk,Kwang-Hwan Yun,427619243,,Y×1,30.56,4 시즌 11 주 2 일,500,6,5,7,6,20,TRUE,2,5,6,2,5,2,10,610,2018-10-14,4,W,310000,14,4.82,6.47,6.44,6.72,6.42,7.1,6.73,7.27,6.65,7.33,5.56,6.36,5.17,0,IMd,7.36
12,Hanguk,Chan-Myung Lee,427619244,,Y×2,29.65,4 시즌 11 주 2 일,780,3,5,8,6,20,TRUE,1,3,7,3,4,3,9,724,2018-10-10,5,IM,390000,9,3.83,5.81,6.06,6.3,6.34,6.63,6.1,7.34,7.24,8.13,6.48,7.05,6.1,0,IMo,8.17
13,Hanguk,Sung-Kook Han,427619245,Technical,,25.53,4 시즌 11 주 2 일,1010,2,4,3,7,20,TRUE,1,5,6,6,5,2,9,648,2018-10-14,3,W,330000,24,2.76,4.72,4.78,4.77,4.84,4.75,4.72,4.87,4.97,4.91,4.01,0,4.04,4.42,IMtw,5.01
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,Y×1,26.106,4 시즌 11 주 2 일,2140,5,4,6,7,20,TRUE,1,5,5,7,6,2,10,772,2018-10-10,5,W,350000,13,3.9,6.65,6.71,6.57,6.77,6.38,6.53,6.38,6.83,6.36,5.65,6.18,5.87,0,Wo,7.02
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,22.100,4 시즌 11 주 2 일,1680,6,3,7,8,20,TRUE,1,3,3,6,4,7,11,759,2018-10-14,5.5,FW,410000,41,3.54,5.34,5.44,5.2,5.53,4.89,5.15,4.89,5.58,5.13,6.97,6.2,7.27,0,FWtw,7.27
25,Polska,Pylyp Nagorniak,406205227,,,30.100,4 시즌 6 주 2 일,1170,5,3,6,6,20,FALSE,1,6,6,3,6,3,10,613,2018-10-10,4.5,IM,420000,12,3.45,6.05,5.96,6.17,5.89,6.45,6.23,6.45,5.92,6.36,5.09,5.73,4.81,0,CD,6.45
31,Hanguk,Se-Hee Park,430626797,,,22.35,3 시즌 10 주 2 일,1030,4,2,4,7,20,TRUE,1,2,5,5,3,7,9,734,2018-10-14,4,FW,390000,27,2.29,3.5,3.72,3.68,3.94,3.62,3.52,4.03,4.44,4.62,5.32,4.84,5.33,0,FWtw,5.33
34,Sverige,Axel Hermansson,422526443,,,32.10,3 시즌 8 주 1 일,680,5,5,5,6,20,FALSE,2,6,6,2,6,2,9,606,2018-09-23,4,IM,420000,18,3.86,5.54,5.44,5.69,5.35,6.02,5.75,6.02,5.38,5.91,4.39,5.16,4.05,0,CD,6.02
38,Latvija,Artem Skurlatov,409641598,,,30.16,3 시즌 4 주 5 일,1280,5,5,4,6,20,FALSE,1,8,6,3,4,3,6,797,2018-10-14,3.5,CD,648000,11,3.45,6.14,5.93,6.13,5.73,6.39,6.27,6.13,5.21,5.47,4.18,4.52,3.96,0,CD,6.39
40,Perú,Matías Pichis,416567166,,,25.78,3 시즌 4 주 1 일,10160,6,2,8,7,20,FALSE,1,10,8,2,4,4,8,1003,2018-10-14,5.5,CD,1764000,5,4.92,9.64,9.24,9.76,8.86,10.45,10.03,10.08,7.99,8.93,6.25,6.81,5.62,0,CD,10.45
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.49,2 시즌 14 주 1 일,1090,6,2,5,7,20,TRUE,1,5,4,5,6,5,5,625,2018-10-03,2.5,FW,290000,14,3.24,5.39,5.33,5.28,5.28,5.21,5.32,5.06,5.18,5,5.41,0,5.47,5.47,TDF,5.47
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,20.17,2 시즌 10 주 3 일,5850,4,2,7,7,20,TRUE,1,7,7,7,4,5,6,803,2018-10-14,5,CD,550000,15,4.34,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.07,7.98,7.09,7.07,7.15,0,CD,8.32
55,Hanguk,Geun-Ho Han,433728993,,,21.19,2 시즌 7 주 3 일,1950,3,2,5,7,20,TRUE,1,5,6,4,3,7,5,731,2018-10-07,4,FW,410000,13,3.26,5.54,5.57,5.69,5.6,5.84,5.66,5.99,5.64,6.04,6.08,5.69,5.92,0,IMd,6.08
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.82,2 시즌 2 주 1 일,6770,3,3,7,7,17,FALSE,1,8,5,7,7,2,6,883,2018-10-10,4.5,WB,708000,2,4.25,8.34,8.12,8.01,7.88,7.88,8.18,7.35,7.2,6.53,5.49,6.19,5.71,0,WBd,8.34
65,Hanguk,Sang-Hyun Yun,434942107,,,19.45,1 시즌 13 주 3 일,2930,3,1,7,6,20,TRUE,1,6,5,4,7,4,4,786,2018-10-10,4,W,390000,4,3.47,6.17,6.05,6.14,5.94,6.26,6.22,6.09,5.85,5.95,5.53,5.99,5.4,0,CD,6.26
70,Hanguk,Min-Gyu Jung,429263814,,,25.11,1 시즌 9 주 0 일,5820,1,4,7,7,14,FALSE,1,9,6,4,4,2,6,957,2018-10-10,5,CD,1030000,2,4.55,8.74,8.38,8.59,8.03,8.87,8.84,8.33,7.04,7.1,4.99,5.58,4.82,0,CD,8.87
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.59,1 시즌 7 주 3 일,1450,3,1,4,6,20,TRUE,1,7,6,4,4,3,7,750,2018-10-10,4,CD,390000,0,2.86,5.31,5.19,5.32,5.08,5.48,5.4,5.36,4.78,4.93,3.84,4.13,3.71,0,CD,5.48
76,Hanguk,Nam-Han Kim,436538053,,TL,18.65,1 시즌 2 주 3 일,9150,5,2,7,6,20,TRUE,9,4,1,1,1,1,7,920,2018-10-14,5,KP,1530000,0,7.25,3.13,2.86,2.91,2.58,2.98,3.11,2.46,1.77,1.6,1.28,1.28,1.28,0,KP,7.25
78,Hanguk,Jung-Oh Han,433730490,Technical,,21.40,7 주 0 일,4240,4,2,6,7,8,FALSE,1,9,3,5,1,3,5,964,2018-10-10,4.5,WB,1270000,4,3.6,7.19,6.72,6.67,6.23,6.61,7.02,5.61,4.48,3.77,3.25,0,3.49,2.84,WBd,7.19
79,España,Jimeno Eguiruren,415605434,,Y×2,25.96,4 주 3 일,24400,5,5,6,7,6,FALSE,1,8,11,3,9,2,5,1095,2018-10-14,6,IM,4068000,22,3.68,7.76,7.78,8.31,7.84,9.01,8.26,9.5,8.54,9.86,6.25,7.94,5.5,0,IMd,9.88
80,Andorra,Joaquim Muntaner,427020395,Technical,,27.42,2 주 5 일,16140,6,6,7,7,5,FALSE,1,9,6,8,7,4,9,999,2018-10-14,5,WB,1260000,29,4.3,9.05,8.83,8.73,8.6,8.59,8.9,8.06,7.83,7.19,6.44,0,6.67,6.88,WBd,9.05
81,Hanguk,Sang-Yong Jang,433566477,,,21.34,2 주 2 일,7710,2,2,6,8,5,FALSE,1,9,6,6,5,4,4,938,2018-10-14,4.5,WB,970000,5,3.47,7.64,7.37,7.42,7.1,7.49,7.62,6.99,6.24,6,4.97,5.19,5,0,WBd,7.64
82,Hanguk,Si-Yul Sa,438852209,,,17.49,0 일,1280,4,0,6,5,20,TRUE,5,3,1,2,1,1,2,573,,,,750000,0,4.53,3.07,2.95,2.91,2.81,2.87,3.01,2.58,2.35,2.09,2.01,1.96,2.1,0,KP,4.53
99,Danmark,Torben Boesen,321795066,Head,,41.33,5 주 2 일,70,5,13,4,2,7,FALSE,0,9,0,3,0,0,0,880,2018-06-06,4,WB,396000,79,2.16,4.12,3.72,3.68,3.31,3.63,3.98,2.8,1.99,1.4,1.07,0.98,1.24,0,WBd,4.12
