Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,,428709461,,,23.23,4 시즌 6 주 3 일,60190,3,2,7,8,20,TRUE,15,5,1,1,1,2,10,1528,2018-11-07,8.5,KP,19050000,0,13.4,5.37,4.99,5.06,4.6,5.15,5.34,4.43,4.04,3.47,3.4,3.32,3.26,3.17,2.98,3.16,0,KP,13.4
4,Hanguk,,427619236,,,23.64,4 시즌 14 주 3 일,1240,5,3,7,8,20,TRUE,1,7,4,3,5,2,9,722,2018-11-07,4.5,CD,390000,26,4.66,7.67,7.34,7.48,7.02,7.65,7.71,7.11,6.71,6.28,6.25,6.11,6.22,5.12,5.68,5,0,CDtw,7.71
6,Hanguk,,427619238,,Y×2,31.45,4 시즌 14 주 3 일,410,5,6,4,6,20,TRUE,1,7,3,6,3,1,11,703,2018-11-07,3.5,WB,350000,24,3.51,5.81,5.61,5.49,5.39,5.34,5.64,4.84,4.96,4.58,4.46,4.67,3.94,3.38,3.53,3.63,0,WBd,5.81
8,Hanguk,,427619240,,Y×1,25.105,4 시즌 14 주 3 일,1260,5,4,8,7,20,TRUE,1,5,6,5,5,1,10,644,2018-11-07,4.5,W,310000,8,4.26,7.13,7.19,7.25,7.26,7.34,7.2,7.51,7.35,7.47,7.54,7.38,7.54,5.68,6.54,5.62,0,IMtw,7.63
10,Hanguk,,427619242,,Y×1,27.111,4 시즌 14 주 3 일,1520,4,5,6,7,20,TRUE,1,6,7,3,3,2,11,758,2018-11-04,4.5,IM,430000,18,4.24,7.07,7.03,7.31,7.02,7.66,7.31,7.83,6.98,7,7.22,6.58,7.6,5.41,5.98,5.08,0,Cdo,7.83
11,Hanguk,,427619243,,Y×1,30.78,4 시즌 14 주 3 일,510,6,5,7,6,20,TRUE,2,5,6,2,5,2,10,611,2018-11-04,3.5,W,310000,14,4.83,6.5,6.46,6.74,6.44,7.12,6.75,7.29,6.61,6.67,6.85,6.34,7.35,5.58,6.38,5.19,0,IMd,7.39
12,Hanguk,,427619244,,Y×2,29.87,4 시즌 14 주 3 일,720,3,5,7,6,20,TRUE,1,3,7,3,4,3,10,714,2018-11-07,4.5,IM,390000,9,3.7,5.61,5.86,6.09,6.12,6.4,5.9,7.1,6.55,7,7.26,6.7,7.86,6.27,6.82,5.89,0,IMo,7.89
13,Hanguk,,427619245,Technical,,25.75,4 시즌 14 주 3 일,1200,2,4,4,7,20,TRUE,1,5,6,6,5,2,10,649,2018-11-04,3.5,W,330000,25,3.12,5.33,5.4,5.39,5.47,5.37,5.34,5.5,5.52,5.61,5.64,5.61,5.55,4.53,0,4.57,4.99,IMtw,5.66
15,Hanguk,,427619247,Unpredictable,Y×1,27.16,4 시즌 14 주 3 일,2100,5,4,6,7,20,TRUE,1,5,5,7,6,2,10,767,2018-11-07,5,W,350000,13,3.9,6.65,6.72,6.57,6.77,6.38,6.54,6.38,6.79,6.83,6.74,7.02,6.37,5.65,6.19,5.87,0,Wo,7.02
16,Hanguk,,427619248,,Y×2,23.10,4 시즌 14 주 3 일,1720,6,3,7,8,20,TRUE,1,3,3,6,4,7,12,764,2018-11-07,6,FW,410000,44,3.55,5.36,5.46,5.22,5.55,4.91,5.17,4.91,5.54,5.6,5.47,5.9,5.15,7,6.22,7.3,0,FWtw,7.3
25,Polska,,406205227,,,31.10,4 시즌 9 주 2 일,920,5,3,6,6,20,FALSE,1,6,6,3,6,3,11,605,2018-11-07,4,IM,396000,12,3.45,6.06,5.97,6.18,5.89,6.46,6.23,6.46,5.96,5.92,6.03,5.69,6.36,5.1,5.74,4.81,0,CD,6.46
31,Hanguk,,430626797,,,22.57,3 시즌 13 주 3 일,1220,4,3,6,8,20,TRUE,1,2,5,5,3,7,9,705,2018-11-04,4.5,FW,390000,28,3.03,4.51,4.78,4.73,5.05,4.66,4.53,5.16,5.3,5.67,5.74,5.7,5.89,6.75,6.16,6.76,0,FWtw,6.76
34,Sverige,,422526443,,,32.32,3 시즌 11 주 2 일,720,5,5,7,5,20,FALSE,2,6,6,2,6,2,9,607,2018-09-23,4,IM,420000,18,4.2,6.03,5.91,6.19,5.81,6.55,6.25,6.55,5.9,5.85,5.99,5.55,6.42,4.78,5.61,4.4,0,CD,6.55
40,Perú,,416567166,,,25.100,3 시즌 7 주 1 일,8580,6,2,6,7,20,FALSE,1,10,8,2,4,4,9,1000,2018-10-28,5.5,CD,1764000,5,4.29,8.41,8.06,8.51,7.73,9.12,8.74,8.8,7.36,6.97,7.21,6.3,7.79,5.45,5.94,4.9,0,CD,9.12
48,Hanguk,,432205385,Technical,,21.71,3 시즌 1 주 2 일,1210,6,2,6,7,20,TRUE,1,5,4,5,6,5,6,623,2018-11-07,4,FW,290000,14,3.48,5.77,5.71,5.66,5.65,5.59,5.7,5.43,5.63,5.55,5.47,5.66,5.35,5.79,0,5.87,5.86,FWtw,5.87
52,Hanguk,,433454317,Unpredictable,,20.39,2 시즌 13 주 4 일,5360,4,2,6,7,20,TRUE,1,7,7,7,4,5,7,781,2018-11-04,4,CD,550000,17,4.06,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.6,7.55,7.6,7.45,7.47,6.64,6.62,6.7,0,CD,7.8
55,Hanguk,,433728993,,,21.41,2 시즌 10 주 4 일,2230,3,2,6,7,20,TRUE,1,5,6,4,3,7,6,737,2018-11-07,4.5,FW,410000,13,3.58,6.09,6.12,6.25,6.15,6.42,6.22,6.58,6.13,6.19,6.33,5.96,6.64,6.68,6.25,6.5,0,IMd,6.68
61,Oceania,,430364099,Powerful,,20.104,2 시즌 5 주 2 일,6550,3,3,7,7,17,FALSE,1,8,5,7,7,2,7,875,2018-11-07,4.5,WB,708000,2,4.27,8.38,8.16,8.05,7.92,7.92,8.22,7.38,7.6,7.24,7.08,7.37,6.56,5.51,6.22,5.74,0,WBd,8.38
65,Hanguk,,434942107,,,19.67,2 시즌 0 주 4 일,3120,3,1,7,6,20,TRUE,1,6,5,4,7,4,5,798,2018-11-07,4.5,W,390000,4,3.47,6.17,6.05,6.14,5.94,6.26,6.22,6.09,5.96,5.85,5.84,5.8,5.95,5.53,5.99,5.4,0,CD,6.26
70,Hanguk,,429263814,,,25.33,1 시즌 12 주 1 일,5880,1,4,7,7,15,FALSE,1,9,6,4,4,2,7,959,2018-11-07,5,CD,1030000,2,4.61,8.8,8.45,8.66,8.1,8.94,8.9,8.4,7.6,7.1,7.17,6.75,7.17,5.05,5.64,4.88,0,CD,8.94
72,Hanguk,,435840503,,,19.81,1 시즌 10 주 3 일,1340,3,1,4,6,20,TRUE,1,7,6,4,4,3,7,735,2018-11-04,3,CD,390000,0,2.82,5.23,5.12,5.24,5.01,5.4,5.32,5.28,4.85,4.71,4.78,4.51,4.86,3.79,4.07,3.66,0,CD,5.4
78,Hanguk,,433730490,Technical,,21.62,10 주 1 일,4540,4,2,6,8,9,FALSE,1,9,3,5,1,3,6,960,2018-11-07,4.5,WB,1270000,4,3.66,7.25,6.78,6.73,6.29,6.67,7.08,5.67,5.35,4.54,4.41,4.43,3.82,3.31,0,3.55,2.9,WBd,7.25
79,España,,415605434,,Y×2,26.6,7 주 3 일,27440,5,5,7,7,8,FALSE,1,8,11,3,9,2,6,1099,2018-11-04,6.5,IM,4116000,23,4.09,8.51,8.53,9.1,8.6,9.86,9.05,10.39,9.07,9.35,9.74,8.69,10.79,6.87,8.7,6.05,0,IMd,10.81
80,Andorra,,427020395,Technical,,27.64,5 주 6 일,15470,6,6,7,7,7,FALSE,1,9,6,8,7,4,10,986,2018-11-04,5,WB,1260000,29,4.38,9.12,8.9,8.79,8.66,8.66,8.96,8.13,8.28,7.9,7.76,8,7.26,6.51,0,6.74,6.95,WBd,9.12
81,Hanguk,,433566477,,,21.56,5 주 3 일,7990,2,2,6,8,7,FALSE,1,9,6,6,5,4,5,947,2018-11-04,4.5,WB,970000,5,3.56,7.73,7.47,7.52,7.2,7.58,7.71,7.08,6.75,6.33,6.3,6.2,6.09,5.06,5.28,5.09,0,WBd,7.73
82,Hanguk,,438852209,,,17.71,3 주 0 일,1380,4,1,3,5,20,TRUE,6,3,1,2,1,1,2,634,2018-11-04,2,KP,750000,0,3.67,2.22,2.13,2.1,2.03,2.07,2.17,1.86,1.86,1.7,1.66,1.71,1.51,1.45,1.42,1.52,0,KP,3.67
83,Hanguk,,434869614,Unpredictable,,20.53,2 주 4 일,2860,2,1,7,7,5,FALSE,1,8,5,4,5,4,2,805,2018-11-04,4,CD,390000,9,2.99,6.55,6.23,6.36,5.92,6.53,6.58,6.01,5.55,5.12,5.11,4.93,5.1,4.32,4.55,4.21,0,CDtw,6.58
98,Hanguk,,439091221,,,17.62,2 일,0,7,1,6,5,20,TRUE,2,2,2,1,1,1,3,190,,,,290000,0,2.68,2.56,2.53,2.6,2.51,2.68,2.61,2.68,2.47,2.45,2.49,2.35,2.58,2.14,2.23,2.07,0,KP,2.68
99,Danmark,,321795066,Head,,41.55,8 주 3 일,60,5,13,6,1,9,FALSE,0,8,0,2,0,0,0,780,2018-06-06,4,WB,396000,79,2.3,4.16,3.76,3.75,3.35,3.74,4.05,2.92,2.69,2.05,1.93,1.98,1.54,1.17,1.11,1.3,0,WBd,4.16
