Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
2,Hanguk,Jee-Hoon Kim,428709461,,,23.109,5 시즌 2 주 5 일,79590,3,3,7,8,20,TRUE,16,5,1,1,1,2,10,1650,2019-01-27,8.5,KP,19050000,0,14.31,5.6,5.21,5.28,4.82,5.38,5.57,4.66,4.27,3.69,3.63,3.55,3.71,3.48,3.46,3.25,3.4,3.21,3.39,0,KP,14.31
4,Hanguk,Ji-Woon Lee,427619236,,Y×1,24.38,5 시즌 10 주 5 일,1090,5,4,5,8,20,TRUE,1,7,4,3,5,2,9,717,2019-01-27,4,CD,390000,26,4.09,6.64,6.36,6.47,6.09,6.62,6.67,6.17,5.82,5.46,5.43,5.32,5.56,5.41,5.4,5.27,4.47,4.95,4.38,0,CDtw,6.67
8,Hanguk,Hong-Chan Son,427619240,,,26.79,5 시즌 10 주 5 일,1160,5,4,7,7,20,TRUE,1,5,6,5,5,1,10,631,2019-01-30,4.5,W,310000,9,4.21,7.05,7.11,7.17,7.18,7.25,7.12,7.43,7.27,7.38,7.46,7.3,7.51,7.46,7.55,7.39,5.62,6.46,5.56,0,IMtw,7.55
10,Hanguk,Kwang-Eul Jeon,427619242,,,28.85,5 시즌 10 주 5 일,1420,4,5,8,7,20,TRUE,1,6,7,3,3,2,11,737,2019-01-30,5,IM,430000,19,4.67,7.77,7.74,8.04,7.72,8.43,8.04,8.61,7.68,7.69,7.94,7.24,8.53,8.36,8.19,8.14,5.95,6.58,5.59,0,Cdo,8.61
11,Hanguk,Kwang-Hwan Yun,427619243,,,31.52,5 시즌 10 주 5 일,390,6,5,8,6,20,TRUE,2,5,6,2,5,2,10,604,2019-01-30,4,W,310000,19,4.96,6.67,6.63,6.92,6.61,7.31,6.93,7.48,6.78,6.85,7.03,6.51,7.58,7.55,7.33,7.5,5.73,6.55,5.32,0,IMd,7.58
12,Hanguk,Chan-Myung Lee,427619244,,Y×1,30.61,5 시즌 10 주 5 일,580,3,5,7,6,20,TRUE,1,3,7,3,4,3,10,702,2019-01-30,4.5,IM,380000,10,3.66,5.56,5.8,6.04,6.07,6.35,5.85,7.03,6.49,6.94,7.2,6.64,7.72,7.79,7.58,7.82,6.21,6.76,5.84,0,IMo,7.82
13,Hanguk,Sung-Kook Han,427619245,Technical,,26.49,5 시즌 10 주 5 일,1590,2,4,8,7,20,TRUE,1,5,6,6,5,2,10,643,2019-01-27,4.5,W,330000,27,4.35,7.44,7.54,7.52,7.64,7.5,7.45,7.68,7.71,7.84,7.87,7.84,7.78,7.75,7.9,7.69,6.33,0,6.38,6.97,IMtw,7.9
15,Hanguk,Man-Ok Lee,427619247,Unpredictable,,27.102,5 시즌 10 주 5 일,2280,5,5,7,7,20,TRUE,1,5,5,7,6,2,10,762,2019-01-27,5.5,W,350000,17,4.3,7.26,7.33,7.17,7.39,6.97,7.14,6.97,7.4,7.45,7.36,7.66,6.96,6.96,7.24,6.95,6.19,6.76,6.43,0,Wo,7.66
16,Hanguk,Dong-Shik Kim,427619248,,Y×1,23.96,5 시즌 10 주 5 일,1420,6,4,5,7,20,TRUE,1,3,3,6,4,7,12,776,2019-01-16,5,FW,410000,60,3.15,4.68,4.77,4.57,4.84,4.3,4.52,4.3,4.84,4.89,4.77,5.14,4.42,4.5,4.61,4.6,6.08,5.41,6.33,0,FWtw,6.33
25,Polska,Pylyp Nagorniak,406205227,,,31.96,5 시즌 5 주 4 일,810,5,4,6,6,20,FALSE,1,6,6,3,6,3,11,601,2019-01-30,4.5,IM,396000,13,3.56,6.14,6.05,6.26,5.98,6.54,6.31,6.54,6.05,6.01,6.11,5.78,6.48,6.44,6.29,6.4,5.19,5.82,4.91,0,CD,6.54
