Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KPPos,WBPos,CDPos,WPos,IMPos,FWPos
1,Hanguk,Jong-Kyung Ji,429263806,Head,,23.3,1시즌 6주 4일,2270,2,3,6,7,20,TRUE,6,3,1,1,1,1,5,659,2018-01-14,3.5,KP,990000,0,,,6.4,3.78,3.86,3.08,2.97,2.76
2,Hanguk,Soon Jung,429263807,,,28.92,1시즌 6주 4일,110,7,5,8,7,20,TRUE,5,5,1,1,3,1,3,318,2018-01-17,4,KP,770000,0,,,7.15,5.52,5.69,4.17,3.94,3.61
3,Hanguk,Dong-Ho Lee,429263808,,,30.34,1시즌 6주 4일,420,4,5,7,6,20,TRUE,1,6,5,2,2,2,4,612,2018-01-17,4,W,310000,5,,,4.46,6.8,7.37,6.13,6.53,4.88
4,Hanguk,Sung-Bum Hyun,429263809,Technical,,19.72,1시즌 6주 4일,4580,2,2,6,7,20,TRUE,1,10,4,3,4,2,5,1003,2018-01-17,5,CD,730000,1,,,4.79,7.98,8.37,5.89,5.67,4.3
5,Hanguk,Pyung-Jae Song,429263810,Powerful 있음,,32.18,1시즌 6주 4일,400,3,6,8,6,20,TRUE,1,7,4,4,3,1,7,693,2018-01-17,4,W,350000,5,,,4.9,7.69,7.81,6.5,6.21,4.77
6,Hanguk,Yong-Seo Kwon,429263811,,,27.102,1시즌 6주 4일,4060,3,4,6,7,20,TRUE,1,9,3,6,4,2,6,959,2018-01-14,4.5,W,570000,5,,,4.88,8.12,7.84,6.17,5.26,4.71
7,Hanguk,Ang-Ri Choi,429263812,Powerful 있음,,33.2,1시즌 6주 4일,700,2,5,6,6,20,TRUE,2,7,6,5,5,3,6,680,2018-01-17,4.5,IM,320000,8,,,4.85,7.27,7.47,6.85,6.87,5.69
8,Hanguk,Min-Gyu Jung,429263814,,,22.76,1시즌 6주 4일,2510,1,3,6,7,20,TRUE,1,8,6,4,4,2,5,815,2018-01-17,4.5,CD,330000,2,,,4.52,7.8,8.21,6.91,7.02,5.18
9,Hanguk,Seung-Min Lee,429263815,Quick,,20.83,1시즌 6주 4일,3140,3,2,6,7,20,TRUE,1,8,6,3,6,2,6,804,2018-01-17,4.5,CD,330000,0,,,4.3,7.4,7.98,6.66,6.97,5.13
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,,25.45,1시즌 6주 4일,3740,4,4,6,7,20,TRUE,1,8,7,2,3,2,4,871,2018-01-17,5,IM,570000,1,,,4.69,7.85,8.73,7.1,7.78,5.25
11,Hanguk,Ryung-Tae Kim,429263818,,,26.111,1시즌 6주 4일,2220,2,4,5,7,20,TRUE,2,7,6,3,5,3,5,773,2018-01-14,4.5,IM,350000,4,,,4.6,6.65,7.15,6.21,6.57,5.23
12,Hanguk,Jung-Eum Yun,429263819,Powerful 있음,,25.108,1시즌 6주 4일,1160,5,4,7,7,20,TRUE,1,4,7,3,5,3,4,714,2018-01-17,4.5,IM,410000,5,,,3.94,6.43,7.04,7.32,8.14,6.46
13,Hanguk,Hong-Woon Kim,429263820,Technical,,22.11,1시즌 6주 4일,3940,2,3,6,8,20,TRUE,1,7,6,6,5,3,4,805,2018-01-17,5,WB,470000,2,,,4.32,7.73,7.77,7.3,7.13,5.97
15,Hanguk,Bong-Joo Kim,429263823,,,23.57,1시즌 6주 4일,6110,4,3,8,7,20,TRUE,1,7,6,7,6,2,4,815,2018-01-17,5.5,WB,410000,5,,,4.79,8.76,8.62,8.39,7.97,6.5
16,Hanguk,Kil-Sung Park,429263824,,,20.7,1시즌 6주 4일,1420,5,2,6,7,20,TRUE,1,4,3,5,4,7,6,753,2018-01-17,5.5,FW,410000,12,,,3.21,4.99,4.7,4.76,4.48,5.93
17,Hanguk,Seung-Ok Lee,429263826,Technical,,34.68,1시즌 6주 4일,40,5,7,7,5,20,TRUE,1,2,4,3,3,6,5,590,2018-01-14,4.5,FW,290000,13,,,3.35,4.52,4.61,5.1,5.45,6.14
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,26.83,1시즌 6주 4일,1130,2,5,5,7,20,TRUE,1,3,5,3,6,6,3,641,2018-01-14,5,FW,310000,20,,,3.19,4.68,4.92,5.36,5.83,6.17
31,Česká republika,Leoš Broukal,397610518,Head,,28.65,13주 3일,15830,3,6,6,6,11,FALSE,1,9,9,2,8,5,4,903,2018-01-14,6,IM,1980000,29,,,4.16,7.86,9.01,7.68,8.8,6.73
32,Deutschland,Toktamış Batmaz,413755690,,,24.32,13주 4일,9370,5,2,7,8,11,FALSE,1,7,8,2,8,3,3,851,2018-01-14,4,CD,900000,4,,,3.5,6.88,7.94,7.16,8.24,5.85
33,Hanguk,Dong-Hyeon Lee,431740152,,,18.12,12주 3일,230,5,1,6,6,20,TRUE,1,5,4,2,2,4,1,528,2018-01-14,2.5,CD,250000,1,,,3.05,4.75,5.1,4.23,4.52,4.11
36,Hanguk,Ki-Bum Lee,432028611,,Inj 1,18.69,9주 2일,50,7,1,5,6,20,TRUE,1,3,3,3,4,3,6,403,2018-01-17,2.5,W,250000,0,,,2.28,3.34,3.34,3.41,3.41,3.46
38,Hanguk,In-Ho Ryu,432215232,Quick,,19.12,7주 2일,110,2,1,7,5,20,TRUE,1,3,4,2,2,5,5,509,2018-01-17,3.5,FW,250000,3,,,2.54,3.75,4.03,3.89,4.31,4.41
41,Oceania,Cedrick Williamson,430364099,Powerful 있음,,18.35,5주 1일,4160,3,2,6,5,7,FALSE,1,7,5,7,7,2,4,811,2018-01-14,3.5,WB,540000,0,,,2.78,5.85,5.61,5.38,4.86,4.07
43,Hanguk,Ji-Soo Kim,433466579,Technical,Bru,18.20,3주 3일,560,3,1,6,5,20,TRUE,1,7,4,4,3,3,3,702,2018-01-14,3.5,CD,310000,0,,,3.17,5.42,5.52,4.46,4.28,3.69
44,Hanguk,Sang-Yong Jang,433566477,,Y×1,18.99,2주 3일,1040,2,1,7,5,20,TRUE,1,3,6,6,5,4,2,635,2018-01-14,2.5,WB,330000,2,,,2.61,4.88,4.77,5.81,5.91,5.51
46,Hanguk,Jung-Oh Han,433730490,Technical,,18.105,4일,230,4,1,6,5,20,TRUE,1,5,3,5,1,3,3,548,,,,270000,0,,,2.8,4.62,4.4,3.9,3.47,3.38
99,Hanguk,In-Guh Park,429263805,,,42.11,1시즌 6주 4일,0,4,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,,,0.97,0.97,0.97,0.97,0.97,0.97
