Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,25.30,3 시즌 10 주 4 일,2380,2,5,7,7,20,TRUE,6,4,1,1,1,1,5,652,2018-09-23,4,KP,990000,0,7.48,5.21,4.92,4.97,4.63,5.04,3.78,3.6,3.27,3.27,3.27,0,KP,7.48
2,Hanguk,Soon Jung,429263807,,,31.7,3 시즌 10 주 4 일,140,7,6,7,6,20,TRUE,5,6,1,1,3,1,3,603,2018-09-26,4,KP,630000,0,7.14,6.33,5.86,5.95,5.4,6.06,4.22,3.94,3.52,3.78,3.5,0,KP,7.14
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,35.29,3 시즌 10 주 4 일,120,2,6,8,5,20,TRUE,2,7,5,4,4,1,5,680,2018-09-26,4.5,W,290000,16,5.45,7.96,7.74,7.85,7.53,8,6.92,6.85,5.1,5.74,5.03,0,CD,8
9,Hanguk,Seung-Min Lee,429263815,Quick,,22.110,3 시즌 10 주 4 일,9020,3,3,6,8,20,TRUE,1,10,6,3,6,2,6,1003,2018-09-23,5,IM,1330000,4,5.1,9.22,8.76,9.05,8.32,9.43,7.31,7.5,5.43,6.27,5.14,0,CD,9.43
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,27.72,3 시즌 10 주 4 일,5320,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,922,2018-09-26,5.5,IM,870000,4,5.31,9.34,8.98,9.41,8.65,9.97,7.8,8.47,5.65,6.32,5.17,0,CD,9.97
11,Hanguk,Ryung-Tae Kim,429263818,,,29.26,3 시즌 10 주 4 일,2500,2,4,8,6,20,TRUE,2,8,6,3,5,3,5,803,2018-09-26,5.5,IM,570000,9,5.82,8.85,8.55,8.83,8.27,9.19,7.65,8.02,6.29,6.89,5.98,0,CD,9.19
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,28.23,3 시즌 10 주 4 일,1170,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,702,2018-09-23,4.5,IM,410000,14,4.31,6.99,7.05,7.33,7.13,7.69,7.56,8.32,6.54,7.23,6.14,0,IMd,8.33
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×2,24.38,3 시즌 10 주 4 일,10020,2,4,7,8,20,TRUE,1,10,6,6,5,3,4,1016,2018-09-23,6.5,W,1430000,5,5.65,10.54,10.15,10.23,9.76,10.32,8.55,8.19,6.6,0,6.64,7.03,WBd,10.54
15,Hanguk,Bong-Joo Kim,429263823,,,25.84,3 시즌 10 주 4 일,13130,4,4,8,7,20,TRUE,1,10,6,7,6,2,4,1066,2018-09-23,7,W,1350000,12,5.81,11,10.63,10.62,10.26,10.61,9.09,8.48,6.66,7.38,6.82,0,WBd,11
16,Hanguk,Kil-Sung Park,429263824,,Y×1,22.34,3 시즌 10 주 4 일,1970,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,747,2018-09-23,6,FW,410000,21,4.1,6.5,6.37,6.25,6.23,6.09,5.74,5.36,6.87,6.15,7.06,0,FWtw,7.06
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,28.110,3 시즌 10 주 4 일,1080,2,6,6,6,20,TRUE,1,4,5,3,6,6,3,614,2018-09-26,5,FW,310000,32,3.76,5.59,5.61,5.74,5.65,5.9,6,6.45,6.72,6.76,6.49,0,FWd,6.76
