Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,,429263806,Head,,25.72,4 시즌 0 주 4 일,2260,2,5,6,7,20,TRUE,6,5,1,1,1,1,5,659,2018-11-07,4,KP,990000,0,7.19,5.43,5.07,5.13,4.71,5.22,5.39,4.56,4.2,3.67,3.61,3.53,3.44,3.03,3.03,3.03,0,KP,7.19
7,Hanguk,,429263812,Powerful,,35.71,4 시즌 0 주 4 일,90,2,6,7,5,20,TRUE,1,7,4,4,4,1,5,680,2018-11-07,4.5,W,290000,16,4.35,7.08,6.83,6.87,6.57,6.93,7.05,6.47,6.22,5.84,5.8,5.75,5.59,4.37,4.86,4.39,0,WBd,7.08
9,Hanguk,,429263815,Quick,,23.40,4 시즌 0 주 4 일,10030,3,4,7,8,20,TRUE,1,10,6,3,6,2,6,1012,2018-11-04,5.5,IM,1550000,8,5.65,10.1,9.61,9.92,9.13,10.33,10.25,9.61,8.66,8.04,8.09,7.62,8.25,6.01,6.92,5.7,0,CD,10.33
10,Hanguk,,429263816,Unpredictable,Y×1,28.2,4 시즌 0 주 4 일,4830,4,4,7,7,20,TRUE,1,9,7,2,3,2,4,906,2018-11-07,5.5,IM,990000,4,5.27,9.26,8.91,9.33,8.58,9.89,9.57,9.54,8.15,7.73,7.96,7.09,8.4,5.6,6.27,5.13,0,CD,9.89
11,Hanguk,,429263818,,,29.68,4 시즌 0 주 4 일,2260,2,4,6,6,20,TRUE,2,8,6,3,5,3,5,802,2018-10-31,4.5,IM,570000,9,4.92,7.49,7.24,7.47,7,7.78,7.64,7.48,6.77,6.48,6.56,6.16,6.79,5.33,5.83,5.06,0,CD,7.78
12,Hanguk,,429263819,Powerful,,28.65,4 시즌 0 주 4 일,1270,5,5,8,7,20,TRUE,1,5,7,3,5,3,4,703,2018-11-07,5,IM,410000,14,4.38,7.11,7.17,7.45,7.25,7.82,7.39,8.18,7.49,7.68,7.91,7.33,8.45,6.65,7.35,6.25,0,IMd,8.47
13,Hanguk,,429263820,Technical,Y×2,24.80,4 시즌 0 주 4 일,11060,2,4,8,8,20,TRUE,1,10,6,6,5,3,4,1035,2018-11-04,6.5,W,1430000,8,5.84,10.9,10.5,10.58,10.1,10.67,10.87,9.93,9.45,8.84,8.79,8.65,8.47,6.83,0,6.87,7.27,WBd,10.9
15,Hanguk,,429263823,,,26.14,4 시즌 0 주 4 일,13520,4,5,8,7,20,TRUE,1,10,6,7,6,2,4,1074,2018-11-04,7,W,1570000,19,5.92,11.09,10.72,10.72,10.35,10.71,10.98,9.97,9.76,9.18,9.08,9.12,8.58,6.77,7.48,6.92,0,WBd,11.09
16,Hanguk,,429263824,,R,22.76,4 시즌 0 주 4 일,2100,5,3,8,8,20,TRUE,1,5,3,5,4,7,6,753,2018-11-04,6,FW,410000,24,4.23,6.71,6.58,6.45,6.43,6.28,6.55,5.91,6.17,5.92,5.79,6.06,5.53,7.09,6.34,7.28,0,FWtw,7.28
18,Hanguk,,429263827,Unpredictable,,29.40,4 시즌 0 주 4 일,1070,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,612,2018-11-07,5.5,FW,300000,32,3.87,5.75,5.78,5.91,5.82,6.08,5.88,6.24,6.06,6.18,6.25,6.08,6.64,6.92,6.97,6.68,0,FWd,6.97
