Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMdPos,IMPos,IMtwPos,IMoPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
1,Hanguk,Jong-Kyung Ji,429263806,Head,,26.27,4 시즌 10 주 1 일,2380,2,5,7,7,20,TRUE,6,5,1,1,1,1,5,652,2019-01-09,4,KP,1010000,0,7.72,5.83,5.44,5.51,5.05,5.61,5.79,4.89,4.51,3.94,3.87,3.79,3.94,3.69,3.71,3.44,3.25,3.25,3.25,0,KP,7.72
7,Hanguk,Ang-Ri Choi,429263812,Powerful,,36.26,4 시즌 10 주 1 일,60,2,6,7,4,20,TRUE,1,6,4,3,4,0,5,590,2019-01-09,3.5,W,270000,17,4.07,6.31,6.12,6.22,5.93,6.35,6.35,6.04,5.72,5.46,5.46,5.32,5.55,5.4,5.45,5.24,3.88,4.57,3.81,0,CD,6.35
10,Hanguk,Jung-Jae Lee,429263816,Unpredictable,Y×1,28.69,4 시즌 10 주 1 일,4980,4,5,7,7,20,TRUE,1,9,7,2,3,2,4,911,2019-01-13,5.5,IM,990000,6,5.39,9.39,9.03,9.45,8.7,10.01,9.69,9.66,8.28,7.86,8.08,7.21,8.87,8.52,8.28,8.13,5.72,6.39,5.25,0,CD,10.01
12,Hanguk,Jung-Eum Yun,429263819,Powerful,,29.20,4 시즌 10 주 1 일,1090,5,5,7,7,20,TRUE,1,5,7,3,5,3,4,700,2019-01-13,5,IM,390000,17,4.25,6.9,6.96,7.23,7.04,7.59,7.17,7.94,7.26,7.46,7.67,7.12,8.22,8.2,7.99,8.17,6.45,7.13,6.06,0,IMd,8.22
13,Hanguk,Hong-Woon Kim,429263820,Technical,Y×1,25.35,4 시즌 10 주 1 일,10780,2,5,7,7,20,TRUE,1,10,6,6,5,3,4,1048,2019-01-13,6,W,1650000,11,5.75,10.61,10.23,10.3,9.84,10.39,10.58,9.68,9.22,8.63,8.58,8.44,8.6,8.27,8.4,7.92,6.69,0,6.73,7.12,WBd,10.61
15,Hanguk,Bong-Joo Kim,429263823,,,26.81,4 시즌 10 주 1 일,12260,4,5,6,7,20,TRUE,1,10,6,7,6,2,4,1060,2019-01-13,6,W,1570000,21,5.29,9.92,9.59,9.58,9.26,9.58,9.82,8.92,8.73,8.21,8.12,8.16,7.95,7.67,7.9,7.38,6.05,6.69,6.19,0,WBd,9.92
16,Hanguk,Kil-Sung Park,429263824,,,23.31,4 시즌 10 주 1 일,2220,5,3,7,8,20,TRUE,1,5,3,5,4,7,6,769,2019-01-09,6,FW,410000,32,4.11,6.51,6.39,6.26,6.25,6.1,6.37,5.74,5.99,5.75,5.62,5.89,5.4,5.37,5.42,5.37,6.89,6.16,7.07,0,FWtw,7.07
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.107,4 시즌 10 주 1 일,1020,2,6,6,6,20,TRUE,1,4,5,3,6,6,3,613,2019-01-13,5.5,FW,300000,36,3.59,5.34,5.36,5.48,5.4,5.64,5.46,5.79,5.62,5.73,5.8,5.64,6.06,6.16,5.97,6.27,6.42,6.46,6.2,0,FWd,6.46
31,Česká republika,,397610518,Head,,31.89,4 시즌 1 주 0 일,10380,3,7,7,6,20,FALSE,1,10,9,1,8,4,4,989,2019-01-09,6.5,IM,1632000,46,5.17,9.52,9.17,9.79,8.87,10.6,10,10.43,8.86,8.6,8.9,7.87,10.05,9.89,9.37,9.7,7.14,8.31,6.32,0,CD,10.6
43,Hanguk,Ji-Soo Kim,433466579,Technical,Y×2,21.44,3 시즌 7 주 0 일,13330,3,2,7,8,20,TRUE,1,11,4,4,3,3,3,1163,2019-01-09,5.5,W,3310000,1,5.54,10.19,9.51,9.64,8.83,9.81,10.13,8.55,7.79,6.77,6.67,6.47,6.78,6.29,6.36,5.79,5.09,0,5.12,5.13,WBd,10.19
